Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-7338,1424288,07/Jun/18 7:58 AM,AAKO-2277,14/May/18 10:14 AM,Detective/Audit Reporting - Portal Setup (Drill-Throughs/Links),Completed,Done,Spine,,8.0,,FirstBU,Spine,,,,,,Mormont,Done,07/Jun/18 7:58 AM,AAKO - Mormont - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7336,1423992,12/Jun/18 7:42 AM,AAKO-2277,14/May/18 9:12 AM,Preventative Approvals - Harmonized  Announcement & Email Notifications,Open,,Spine,,13.0,,Spine,,,,,,,Mormont,,,AAKO - Mormont - Corbett.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7056,1413688,24/May/18 9:43 AM,AAKO-3983,09/May/18 12:36 PM,B.2 - Complete Portal View Testing for Remaining Internal Analyst Views,Completed,Done,Spine,,2.0,,Spine,,,,,,,Stark,Done,24/May/18 9:43 AM,Stark - Bandhavgarh.3,,,,Spine,,,,AAKO-7021,,,,,,,
Story,AAKO-7036,1410727,20/Jun/18 12:34 PM,AAKO-2277,08/May/18 3:00 PM,Detective Reporting/Approvals - Harmonized Announcements & Email Notifications,Open,,Spine,,8.0,,Spine,,,,,,,Mormont,,,AAKO - Mormont - Corbett.4,,,,Spine,,,,,,,,,,,
Story,AAKO-7028,1405815,19/Jun/18 12:57 PM,AAKO-3968,07/May/18 4:44 PM,[TEST UAT] Quota Kicker - Year-End Sales>= Quota Bonus w/ 40% H1 Advance,Open,,MIT,,5.0,,Mitek,,,,,,,Lannister,,,AAKO-Lannister - C3,,,,MIT,,,,,,,,,,,
Story,AAKO-7026,1404630,29/Jun/18 10:03 AM,AAKO-3983,07/May/18 10:48 AM,B.4 Updates & Enhancements,In Progress,,Spine,,8.0,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.1,,,,Spine,,,,AAKO-7022,,,,,,,
Story,AAKO-7022,1398773,06/Jun/18 9:52 AM,AAKO-3983,04/May/18 10:33 AM,B.3 Updates & Enhancements,Completed,Done,Spine,,5.0,,Spine,,,,,,,Stark,Done,06/Jun/18 9:52 AM,Stark - Bandhavgarh.4,,,,Spine,,,,AAKO-7021,,,,,,,
Story,AAKO-7021,1398772,18/May/18 7:32 AM,AAKO-3983,04/May/18 10:31 AM,B.2 Updates & Enhancements,Completed,Done,Spine,,5.0,,Spine,,,,,,,Stark,Done,18/May/18 7:32 AM,Stark - Bandhavgarh.3,,,,Spine,,,,AAKO-6310,,,,,,,
Story,AAKO-7020,1397021,14/Jun/18 6:46 PM,AAKO-8074,04/May/18 1:21 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Zip to Geography,Completed,Done,Spine,,2.0,,FirstBU,,,,,,,Mormont,Done,14/Jun/18 6:46 PM,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7016,,,,,,,
Story,AAKO-7019,1397020,14/Jun/18 1:23 PM,AAKO-8074,04/May/18 1:21 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Shadow Hierarchy,Completed,Done,Spine,,2.0,,FirstBU,,,,,,,Mormont,Done,14/Jun/18 1:23 PM,AAKO - Mormont - IP Sprint,,,,Spine,,,,AAKO-7016,,,,,,,
Story,AAKO-7018,1397019,27/Jun/18 3:18 PM,AAKO-8074,04/May/18 1:21 AM,Data Uploads - RAW Portal View + Remap Post: PRM-Plan to Components,Completed,Done,Spine,,2.0,,,,,,,,,Mormont,Done,27/Jun/18 3:18 PM,AAKO - Mormont - Corbett.1,,,,Spine,,,,AAKO-7016,,,,,,,
